method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,leaf_size,node_budget,exploration,seed
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00039,10,16,1,1000,1,True,True,0.9533,9.92322950014568,11.52591219961323,9892.090441007895,9.92322950014568,9.92322950014568,9.92322950014568,40000000,148439040,252835.439,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00047,100,64,1,1000,1,True,True,1.0,39.97677100005603,40.33356730005835,39204.79079598408,39.97677100005603,39.97677100005603,39.97677100005603,40000000,148439040,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00036,10,1,1,1000,1,True,True,0.5198,0.6305629999587836,1.0956774002806924,687.7301780141352,0.6305629999587836,0.6305629999587836,0.6305629999587836,40000000,148439040,17173.241,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00040,10,33,1,1000,1,True,True,0.9905,20.16195850001168,22.308306549757617,20108.491620994755,20.16195850001168,20.16195850001168,20.16195850001168,40000000,148439040,516707.155,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00031,1,3,1,1000,1,True,True,0.81,1.8730629999481607,2.4442062506750517,1893.8270089965954,1.8730629999481607,1.8730629999481607,1.8730629999481607,40000000,148439040,49531.735,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00034,1,26,1,1000,1,True,True,0.991,15.935854500185087,17.895768449716343,15886.939862999498,15.935854500185087,15.935854500185087,15.935854500185087,40000000,148439040,407575.079,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00038,10,9,1,1000,1,True,True,0.9055,5.608082999515318,6.738091999568496,5586.666949981918,5.608082999515318,5.608082999515318,5.608082999515318,40000000,148439040,143579.335,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00041,10,64,1,1000,1,True,True,1.0,40.06995800000368,40.30107055045846,39222.317101986846,40.06995800000368,40.06995800000368,40.06995800000368,40000000,148439040,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00037,10,4,1,1000,1,True,True,0.8,2.564479499596928,3.26110444934784,2552.4592469855634,2.564479499596928,2.564479499596928,2.564479499596928,40000000,148439040,65176.568,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-64-seed42,main-s00044,100,12,1,1000,1,True,True,0.90377,7.673270999930537,8.974989250191356,7623.155220009721,7.673270999930537,7.673270999930537,7.673270999930537,40000000,148439040,190403.179,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
