query,full_float_best_row,full_float_best_score,query_id
0,795454,0.7967658042907715,990375
1,134436,0.7994076013565063,127682
2,388092,0.8388969302177429,1059253
3,893625,0.9017114043235779,144491
4,528637,0.7764394879341125,601684
5,553106,0.7313552498817444,696918
6,913696,0.6913633346557617,1094220
7,938708,0.7478996515274048,1033580
8,249402,0.6961480975151062,1002596
9,740024,0.8352001309394836,1099340
10,77839,0.825136125087738,1100035
11,736661,0.701326847076416,559009
12,472418,0.7457189559936523,1061237
13,281422,0.8052669763565063,1087066
14,564778,0.6513327956199646,724275
15,383884,0.7172079086303711,693297
16,10425,0.8774731159210205,728836
17,709408,0.7845781445503235,666792
18,680106,0.7942816615104675,546956
19,762651,0.8309018611907959,543251
20,204543,0.8623309135437012,694560
21,124286,0.8365209102630615,743868
22,558229,0.6977510452270508,438058
23,651088,0.7826722264289856,998891
24,189472,0.857132077217102,554738
25,243150,0.7399149537086487,991662
26,597994,0.7952873110771179,985275
27,975593,0.8933180570602417,894161
28,611391,0.7231478691101074,1070324
29,504239,0.8296670913696289,863623
30,153442,0.7254360318183899,1097492
31,255035,0.8630824089050293,1082384
32,238824,0.8552760481834412,508104
33,613382,0.8125026822090149,618223
34,715915,0.8920443058013916,1083085
35,68810,0.7916085124015808,385652
36,978855,0.8200627565383911,751797
37,987749,0.7533677816390991,1002716
38,565732,0.7800360918045044,528760
39,553840,0.8727210760116577,88160
40,847028,0.8522014021873474,753040
41,15273,0.8078603148460388,914845
42,55926,0.7292695641517639,1060616
43,204883,0.8715061545372009,27932
44,123273,0.8156422972679138,1095059
45,468410,0.8200910687446594,1082966
46,725899,0.8420657515525818,1085141
47,195435,0.8750072717666626,319652
48,631394,0.7356913089752197,527568
49,173558,0.8065806031227112,239830
50,431559,0.7574851512908936,1052585
51,96482,0.7799615859985352,1098276
52,908352,0.7863599061965942,906901
53,800043,0.8300161957740784,227637
54,610534,0.7643043994903564,583686
55,343336,0.7838178873062134,75717
56,428874,0.8369560241699219,1089868
57,945094,0.7914921045303345,1011382
58,970338,0.865027904510498,583766
59,465925,0.8368968963623047,1089051
