method,clusters,router,top_k,probes,repetitions,reasons,source_setting_ids,setting_id,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,10,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00454'}]",['main-s00454'],qwen-quora-d256-followup-s00034,1000,1,True,True,0.9946,2.7553544987313217,2.9979295028169872,2761.7955849855207,2.7553544987313217,2.7553544987313217,2.7553544987313217,20917240,121946112,66498.407,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,1,702,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00003', 'target': 1.0}]",['main-s00003'],qwen-quora-d256-followup-s00002,1000,1,True,True,1.0,3.716479001013795,3.9933351008585305,3721.375894929224,3.716479001013795,3.716479001013795,3.716479001013795,20917240,121946112,90856.664,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,100,1500,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00298', 'target': 0.9979}]",['main-s00298'],qwen-quora-d256-followup-s00023,1000,1,True,True,0.99791,7.762061999528669,8.087060101388488,7757.135834013752,7.762061999528669,7.762061999528669,7.762061999528669,20917240,121946112,192720.433,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,10,2,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00335', 'target': 0.6892}]",['main-s00335'],qwen-quora-d256-followup-s00019,1000,1,True,True,0.7057,0.07156249921536073,0.09487915194767993,73.0180449281761,0.07156249921536073,0.07156249921536073,0.07156249921536073,20917240,118554624,1132.15,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,10,199,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00454', 'target': 0.9946}]",['main-s00454'],qwen-quora-d256-followup-s00016,1000,1,True,True,0.9947,3.9712500001769513,4.357306550264184,3989.939913910348,3.9712500001769513,3.9712500001769513,3.9712500001769513,20917240,118554624,102587.272,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,10,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00274'}]",['main-s00274'],qwen-quora-d256-followup-s00031,1000,1,True,True,0.9993,10.005624999394058,10.79429555193201,10084.429191010713,10.005624999394058,10.005624999394058,10.005624999394058,20917240,118554624,262387.176,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,10,46,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00274', 'target': 0.9993}]",['main-s00274'],qwen-quora-d256-followup-s00009,1000,1,True,True,0.9993,14.784854498429922,15.759905899722071,14727.18155000257,14.784854498429922,14.784854498429922,14.784854498429922,20917240,103514112,376764.705,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,10,34,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00094', 'target': 0.9961}]",['main-s00094'],qwen-quora-d256-followup-s00012,1000,1,True,True,0.9965,10.992104000251857,11.99066875196877,10982.562965928082,10.992104000251857,10.992104000251857,10.992104000251857,20917240,103514112,279452.419,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-64-seed42,100,2,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00545', 'target': 0.58586}]",['main-s00545'],qwen-quora-d256-followup-s00027,1000,1,True,True,0.69524,0.7441874986398034,1.1234187517402456,756.6086010738218,0.7441874986398034,0.7441874986398034,0.7441874986398034,20917240,103514112,17936.524,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,10,482,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00454', 'target': 0.9946}]",['main-s00454'],qwen-quora-d256-followup-s00017,1000,1,True,True,0.9946,2.594895498987171,2.828502047123038,2602.769959041325,2.594895498987171,2.594895498987171,2.594895498987171,20917240,122093568,62645.112,0.0,0.0,0.0,0.0,0.0,0.0,,
