method,clusters,router,top_k,probes,repetitions,reasons,source_setting_ids,setting_id,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,157,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00430', 'target': 0.999}]",['main-s00430'],qwen-quora-d1024-followup-s00005,3000,3,True,True,0.999,4.486021000047913,5.0287795002077464,13484.195012042619,4.492895999646862,4.461938002350507,4.497103998801322,71118616,293552128,20879.36,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,512,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00474', 'target': 0.98116}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00474'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00478'}]","['main-s00474', 'main-s00478']",qwen-quora-d1024-followup-s00011,3000,3,True,True,0.98116,13.662749999639345,14.74897709722427,41061.39268201878,13.661145501828287,13.648500000272179,13.693458498892142,71118616,293552128,66911.499,0.0,0.0,0.0,0.0,0.0,0.0,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,33,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00394', 'target': 0.99}]",['main-s00394'],qwen-quora-d1024-followup-s00021,3000,3,True,True,0.99,1.217375000123866,1.4177496475895166,3674.9751040588308,1.2194999999337597,1.2060624994774116,1.2267915008123964,73210340,246972416,4558.183,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,170,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00405', 'target': 0.95}]",['main-s00405'],qwen-quora-d1024-followup-s00025,3000,3,True,True,0.95004,4.841208501602523,5.398469050669519,14558.0851911036,4.85052050134982,4.812478999156156,4.869458500252222,73210340,247300096,22585.081,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,15,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00403', 'target': 0.8}]",['main-s00403'],qwen-quora-d1024-followup-s00023,3000,3,True,True,0.80501,0.7593959981022635,0.8843917001286171,2293.1197689649707,0.7587709988001734,0.7573540024168324,0.7624380014021881,73210340,247300096,2132.107,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,57,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00404', 'target': 0.9}]",['main-s00404'],qwen-quora-d1024-followup-s00024,3000,3,True,True,0.90021,1.8729584971879376,2.1506836483240477,5637.677660142799,1.8729169987636851,1.8654585001058877,1.8831870002031792,73210340,247300096,7737.498,0.0,0.0,0.0,1.0,0.0,0.0,0,0
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,100,3,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00545', 'target': 0.64684}]",['main-s00545'],qwen-quora-d1024-followup-s00013,3000,3,True,True,0.66068,0.44210400119482074,0.612489299601293,1362.2007119665795,0.4421874982654117,0.43554200055950787,0.4484375003812602,71118616,261537792,1703.657,0.0,0.0,0.0,0.0,0.0,0.0,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,100,2,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00222', 'target': 0.5}]",['main-s00222'],qwen-quora-d1024-followup-s00022,3000,3,True,True,0.59931,0.33177050136146136,0.46318270124174876,1024.886642848287,0.3320835003250977,0.33081249966926407,0.3325005018268712,73210340,220561408,1149.348,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,1,1,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00210', 'target': 0.5}]",['main-s00210'],qwen-quora-d1024-followup-s00017,3000,3,True,True,0.728,0.19587499991757795,0.27504404897626955,604.2175720649539,0.19631249961094,0.1944169998751022,0.19635450007626787,73210340,220561408,584.657,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,1,2,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00211', 'target': 0.8}]",['main-s00211'],qwen-quora-d1024-followup-s00018,3000,3,True,True,0.859,0.30385450008907355,0.4283896021661348,940.3592311464308,0.3047085010621231,0.30141699971864,0.30491700090351515,73210340,220561408,1149.348,0.0,0.0,0.0,1.0,0.0,0.0,0,0
